HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
King's College Budo,Kampala,Tier 1,Private/Faith-based
Ntare School,Kampala,Tier 1,Public/Mixed
St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
Gayaza High School,Kampala,Tier 1,Private/Faith-based
Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
Seeta High School,Kampala,Tier 2,Private/Faith-based
St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
Makerere College School,Kampala,Tier 2,Private/Faith-based
Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
Jinja Secondary School,Jinja,Tier 2,Public/Mixed
Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
Masaka Secondary School,Masaka,Tier 2,Public/Mixed
Mbarara High School,Mbarara,Tier 1,Private/Faith-based
Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
Gulu High School,Gulu,Tier 2,Private/Faith-based
St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
Lira Town College,Lira,Tier 2,Private/Faith-based
St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
Mbale Secondary School,Mbale,Tier 2,Public/Mixed
Nabumali High School,Mbale,Tier 1,Private/Faith-based
Tororo Girls School,Tororo,Tier 2,Private/Faith-based
St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
Arua Public Secondary School,Arua,Tier 2,Public/Mixed
Muni Girls School,Arua,Tier 2,Private/Faith-based
Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
Hoima Secondary School,Hoima,Tier 2,Public/Mixed
Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
Soroti Secondary School,Soroti,Tier 2,Public/Mixed
Ngora High School,Soroti,Tier 2,Private/Faith-based
Iganga Secondary School,Iganga,Tier 2,Public/Mixed
Busoga High School,Iganga,Tier 2,Private/Faith-based
Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
Namasagali College,Kamuli,Tier 1,Private/Faith-based
Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
Kumi Secondary School,Kumi,Tier 2,Public/Mixed
Moroto High School,Moroto,Tier 2,Private/Faith-based
Kotido Secondary School,Kotido,Tier 2,Public/Mixed
Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed
Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed
Kasese Secondary School,Kasese,Tier 2,Public/Mixed
St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based
Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
Mityana Secondary School,Mityana,Tier 2,Public/Mixed
Mubende Secondary School,Mubende,Tier 2,Public/Mixed
Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
Kibale Secondary School,Kibale,Tier 2,Public/Mixed
Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
Rakai Secondary School,Rakai,Tier 2,Public/Mixed
Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
Gomba Secondary School,Gomba,Tier 2,Public/Mixed
Butambala Secondary School,Butambala,Tier 2,Public/Mixed
Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
